iter	Logloss
0	0.6872189032
1	0.6817640024
2	0.6762954815
3	0.6712283938
4	0.6661823925
5	0.660538687
6	0.6558415773
7	0.6510059072
8	0.6463348927
9	0.6416560886
10	0.6371834941
11	0.6322430454
12	0.6277284734
13	0.6230553191
14	0.6197672088
15	0.6155008766
16	0.6112897961
17	0.6076398778
18	0.6037907401
19	0.6004593848
20	0.5966829085
21	0.5930932174
22	0.5890585666
23	0.5859171826
24	0.5823386313
25	0.5794191225
26	0.5768523783
27	0.5734759076
28	0.5701412569
29	0.567715717
30	0.5646169082
31	0.5620234708
32	0.5588737745
33	0.5559967732
34	0.5535091097
35	0.5505749111
36	0.5475932388
37	0.5445267606
38	0.5415856128
39	0.5390631885
40	0.536806795
41	0.5350539576
42	0.5323713514
43	0.5298701148
44	0.5278242612
45	0.5254318446
46	0.5227731197
47	0.520183726
48	0.5181968419
49	0.5157174119
50	0.5134899895
51	0.511689287
52	0.509451944
53	0.5083104698
54	0.5061676465
55	0.5047490004
56	0.5028970587
57	0.5017513398
58	0.5002669581
59	0.4984578938
60	0.4963988141
61	0.4949752114
62	0.4928689936
63	0.4914432644
64	0.4897021548
65	0.4878950435
66	0.4859369964
67	0.4840810281
68	0.482354357
69	0.4807084418
70	0.4792610912
71	0.4779196997
72	0.4764200111
73	0.4747701564
74	0.4733845162
75	0.4720453904
76	0.4706383603
77	0.4693914096
78	0.468494153
79	0.4671883544
80	0.4655943492
81	0.4644524377
82	0.463567174
83	0.4623304131
84	0.4610601827
85	0.4601127341
86	0.4585340823
87	0.4576093769
88	0.4564824902
89	0.4553127158
90	0.4541455106
91	0.4530752172
92	0.4517083007
93	0.4503999125
94	0.4494400686
95	0.448417861
96	0.4476459302
97	0.4465892748
98	0.4456218502
99	0.4449860915
100	0.4441297137
101	0.4430049275
102	0.4426432881
103	0.4415066478
104	0.4405795914
105	0.4395969071
106	0.4384851859
107	0.4375637508
108	0.4367541605
109	0.4360629223
110	0.4352822743
111	0.4349597622
112	0.4346141862
113	0.4337877779
114	0.4330504312
115	0.4327006476
116	0.4318591367
117	0.4309702856
118	0.430433636
119	0.4299120976
120	0.4290361972
121	0.428407805
122	0.427680798
123	0.4274345541
124	0.4269280569
125	0.4260827224
126	0.4252015367
127	0.4244022624
128	0.4240599025
129	0.4231988966
130	0.4224855691
131	0.4222602465
132	0.4215409519
133	0.4207466206
134	0.4199115196
135	0.41916756
136	0.4184633781
137	0.4179568299
138	0.4174585674
139	0.4172576606
140	0.4169642424
141	0.4166203134
142	0.4158122171
143	0.4150329048
144	0.4145576932
145	0.4140063875
146	0.4132332188
147	0.4127507922
148	0.4122538246
149	0.4117432594
150	0.4111707436
151	0.4107996213
152	0.4103847441
153	0.4100215599
154	0.409539574
155	0.4094027663
156	0.408918059
157	0.4083643034
158	0.4079184496
159	0.4075507448
160	0.407223297
161	0.4067703477
162	0.4063588505
163	0.405635883
164	0.4052494368
165	0.4046573242
166	0.4046079746
167	0.4042119645
168	0.4038463854
169	0.4033899303
170	0.4029568599
171	0.4025022578
172	0.4022185115
173	0.4021047731
174	0.4018996141
175	0.4013707782
176	0.4008170988
177	0.4003815565
178	0.4000261942
179	0.3996517972
180	0.3993455886
181	0.3992112191
182	0.3990367606
183	0.3985996314
184	0.398462292
185	0.397902037
186	0.3975501326
187	0.3971207408
188	0.3968735906
189	0.3963433369
190	0.3962097805
191	0.3961003998
192	0.3958538017
